"Fact","Fact Note","Dutchess County, New York","Value Note for Dutchess County, New York","Putnam County, New York","Value Note for Putnam County, New York","Orange County, New York","Value Note for Orange County, New York","Rockland County, New York","Value Note for Rockland County, New York","Westchester County, New York","Value Note for Westchester County, New York","Suffolk County, New York","Value Note for Suffolk County, New York"
"Population Estimates, July 1 2022, (V2022)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population Estimates, July 1 2021, (V2021)","","297,112","","97,936","","404,525","","339,227","","997,895","","1,526,344",""
"Population estimates base, April 1, 2020, (V2022)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population estimates base, April 1, 2020, (V2021)","","295,911","","97,668","","401,310","","338,329","","1,004,457","","1,525,920",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","","0.4%","","0.3%","","0.8%","","0.3%","","-0.7%","","Z",""
"Population, Census, April 1, 2020","","295,911","","97,668","","401,310","","338,329","","1,004,457","","1,525,920",""
"Population, Census, April 1, 2010","","297,488","","99,710","","372,813","","311,687","","949,113","","1,493,350",""
"Persons under 5 years, percent","","4.5%","","4.5%","","6.6%","","8.4%","","5.2%","","5.2%",""
"Persons under 18 years, percent","","18.4%","","19.2%","","25.6%","","29.2%","","21.4%","","20.7%",""
"Persons 65 years and over, percent","","18.5%","","18.6%","","14.5%","","15.7%","","17.8%","","17.6%",""
"Female persons, percent","","49.9%","","49.6%","","49.6%","","50.6%","","51.2%","","50.4%",""
"White alone, percent","","80.6%","","90.4%","","78.7%","","78.0%","","72.9%","","83.6%",""
"Black or African American alone, percent","(a)","12.3%","","4.5%","","13.9%","","12.9%","","16.7%","","9.0%",""
"American Indian and Alaska Native alone, percent","(a)","0.5%","","0.5%","","0.9%","","0.6%","","1.0%","","0.7%",""
"Asian alone, percent","(a)","3.7%","","2.4%","","3.1%","","6.2%","","6.6%","","4.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%","","0.1%","","0.1%","","0.1%","","0.1%","","0.1%",""
"Two or More Races, percent","","2.8%","","2.2%","","3.2%","","2.2%","","2.7%","","2.1%",""
"Hispanic or Latino, percent","(b)","13.8%","","17.7%","","22.6%","","18.8%","","25.9%","","20.7%",""
"White alone, not Hispanic or Latino, percent","","69.7%","","75.3%","","61.1%","","62.7%","","52.4%","","65.7%",""
"Veterans, 2017-2021","","13,227","","3,418","","18,722","","8,021","","26,426","","56,257",""
"Foreign born persons, percent, 2017-2021","","11.2%","","13.9%","","11.7%","","21.0%","","25.3%","","15.5%",""
"Housing units, July 1, 2021, (V2021)","","122,641","","38,359","","148,237","","108,510","","392,186","","579,431",""
"Owner-occupied housing unit rate, 2017-2021","","68.9%","","83.3%","","68.9%","","68.1%","","61.6%","","81.8%",""
"Median value of owner-occupied housing units, 2017-2021","","$304,600","","$377,800","","$291,900","","$465,200","","$559,900","","$436,300",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$2,317","","$2,800","","$2,404","","$3,250","","$3,598","","$2,937",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$886","","$1,151","","$991","","$1,471","","$1,484","","$1,296",""
"Median gross rent, 2017-2021","","$1,314","","$1,544","","$1,379","","$1,642","","$1,682","","$1,895",""
"Building permits, 2021","","522","","67","","1,760","","486","","2,319","","1,459",""
"Households, 2017-2021","","111,735","","34,651","","132,880","","102,161","","364,413","","505,564",""
"Persons per household, 2017-2021","","2.49","","2.76","","2.92","","3.23","","2.67","","2.96",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","89.3%","","92.4%","","91.0%","","91.2%","","90.4%","","92.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","15.2%","","20.2%","","25.8%","","42.6%","","33.9%","","22.4%",""
"Households with a computer, percent, 2017-2021","","94.1%","","95.5%","","90.7%","","90.5%","","94.1%","","94.7%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","91.0%","","93.1%","","86.3%","","86.4%","","89.7%","","90.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","91.5%","","93.3%","","89.9%","","88.9%","","88.9%","","90.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","37.7%","","41.5%","","31.4%","","42.0%","","50.6%","","38.3%",""
"With a disability, under age 65 years, percent, 2017-2021","","8.0%","","6.2%","","7.8%","","5.2%","","5.9%","","6.1%",""
"Persons  without health insurance, under age 65 years, percent","","4.7%","","4.3%","","5.4%","","5.2%","","5.6%","","4.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","62.9%","","65.2%","","62.7%","","63.9%","","65.5%","","65.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","60.4%","","60.3%","","59.2%","","59.7%","","60.2%","","60.6%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","655,229","","146,303","","714,989","","647,448","","2,561,634","","3,936,735",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","2,503,665","","609,918","","2,906,256","","2,706,263","","10,819,866","","13,050,833",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","184,226","","77,809","","846,488","","344,393","","1,915,831","","2,886,231",""
"Total retail sales, 2017 ($1,000)","(c)","3,909,612","","909,879","","7,023,730","","4,732,545","","16,295,562","","27,801,053",""
"Total retail sales per capita, 2017","(c)","$13,320","","$9,200","","$18,489","","$14,580","","$16,799","","$18,736",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","32.0","","39.2","","34.1","","31.2","","34.8","","32.1",""
"Median household income (in 2021 dollars), 2017-2021","","$87,112","","$111,617","","$85,640","","$99,707","","$105,387","","$111,660",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$44,800","","$49,808","","$37,651","","$41,041","","$61,830","","$49,404",""
"Persons in poverty, percent","","9.7%","","6.6%","","12.2%","","15.2%","","9.4%","","6.4%",""
"Total employer establishments, 2020","","7,412","","2,841","","9,714","","10,348","","31,014","","49,173",""
"Total employment, 2020","","98,011","","22,010","","121,375","","120,524","","384,010","","591,446",""
"Total annual payroll, 2020 ($1,000)","","5,006,793","","1,014,355","","5,255,808","","5,762,339","","27,525,545","","33,388,676",""
"Total employment, percent change, 2019-2020","","-3.2%","","-0.3%","","-1.3%","","1.8%","","-2.2%","","-0.5%",""
"Total nonemployer establishments, 2019","","23,414","","9,818","","27,793","","29,485","","104,393","","141,623",""
"All employer firms, Reference year 2017","","6,701","","2,553","","8,234","","8,938","","27,684","","43,485",""
"Men-owned employer firms, Reference year 2017","","4,187","","1,744","","5,153","","5,705","","18,052","","29,452",""
"Women-owned employer firms, Reference year 2017","","S","","S","","1,568","","1,662","","5,328","","8,162",""
"Minority-owned employer firms, Reference year 2017","","910","","257","","1,149","","1,560","","5,660","","6,481",""
"Nonminority-owned employer firms, Reference year 2017","","5,144","","2,101","","6,213","","6,614","","19,754","","34,672",""
"Veteran-owned employer firms, Reference year 2017","","289","","69","","312","","S","","934","","2,056",""
"Nonveteran-owned employer firms, Reference year 2017","","5,727","","2,250","","7,008","","7,844","","24,416","","38,750",""
"Population per square mile, 2020","","371.9","","424.3","","494.0","","1,950.7","","2,332.0","","1,674.7",""
"Population per square mile, 2010","","373.9","","432.9","","459.3","","1,795.9","","2,204.7","","1,637.4",""
"Land area in square miles, 2020","","795.65","","230.20","","812.32","","173.44","","430.72","","911.17",""
"Land area in square miles, 2010","","795.63","","230.31","","811.69","","173.55","","430.50","","912.05",""
"FIPS Code","","""36027""","","""36079""","","""36071""","","""36087""","","""36119""","","""36103""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
