"Fact","Fact Note","Cattaraugus County, New York","Value Note for Cattaraugus County, New York","Chautauqua County, New York","Value Note for Chautauqua County, New York"
"Population Estimates, July 1 2022, (V2022)","","NA","","NA",""
"Population Estimates, July 1 2021, (V2021)","","76,426","","126,807",""
"Population estimates base, April 1, 2020, (V2022)","","NA","","NA",""
"Population estimates base, April 1, 2020, (V2021)","","77,042","","127,657",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","NA","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","","-0.8%","","-0.7%",""
"Population, Census, April 1, 2020","","77,042","","127,657",""
"Population, Census, April 1, 2010","","80,317","","134,905",""
"Persons under 5 years, percent","","5.4%","","5.2%",""
"Persons under 18 years, percent","","22.0%","","20.3%",""
"Persons 65 years and over, percent","","20.3%","","21.1%",""
"Female persons, percent","","49.8%","","50.2%",""
"White alone, percent","","91.6%","","93.2%",""
"Black or African American alone, percent","(a)","1.5%","","2.9%",""
"American Indian and Alaska Native alone, percent","(a)","3.7%","","0.8%",""
"Asian alone, percent","(a)","0.8%","","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z","","0.1%",""
"Two or More Races, percent","","2.3%","","2.4%",""
"Hispanic or Latino, percent","(b)","2.4%","","8.1%",""
"White alone, not Hispanic or Latino, percent","","90.0%","","86.6%",""
"Veterans, 2017-2021","","5,638","","8,058",""
"Foreign born persons, percent, 2017-2021","","1.5%","","2.4%",""
"Housing units, July 1, 2021, (V2021)","","40,231","","66,338",""
"Owner-occupied housing unit rate, 2017-2021","","72.6%","","68.8%",""
"Median value of owner-occupied housing units, 2017-2021","","$92,500","","$96,000",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,141","","$1,038",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$486","","$465",""
"Median gross rent, 2017-2021","","$682","","$694",""
"Building permits, 2021","","128","","88",""
"Households, 2017-2021","","31,333","","53,050",""
"Persons per household, 2017-2021","","2.38","","2.31",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","90.6%","","89.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","4.3%","","8.1%",""
"Households with a computer, percent, 2017-2021","","85.7%","","87.7%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","77.8%","","81.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","89.6%","","89.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","20.0%","","23.3%",""
"With a disability, under age 65 years, percent, 2017-2021","","12.0%","","13.1%",""
"Persons  without health insurance, under age 65 years, percent","","6.8%","","6.0%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","56.7%","","55.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","53.8%","","52.6%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","337,841","","228,144",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","375,559","","653,326",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","55,421","","121,395",""
"Total retail sales, 2017 ($1,000)","(c)","1,096,043","","1,508,880",""
"Total retail sales per capita, 2017","(c)","$14,198","","$11,749",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","22.4","","18.7",""
"Median household income (in 2021 dollars), 2017-2021","","$53,537","","$50,408",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$27,917","","$27,980",""
"Persons in poverty, percent","","16.1%","","17.2%",""
"Total employer establishments, 2020","","1,532","","2,692",""
"Total employment, 2020","","20,505","","39,745",""
"Total annual payroll, 2020 ($1,000)","","787,463","","1,574,586",""
"Total employment, percent change, 2019-2020","","-1.5%","","-3.1%",""
"Total nonemployer establishments, 2019","","3,665","","7,036",""
"All employer firms, Reference year 2017","","1,241","","2,249",""
"Men-owned employer firms, Reference year 2017","","752","","1,425",""
"Women-owned employer firms, Reference year 2017","","123","","287",""
"Minority-owned employer firms, Reference year 2017","","82","","106",""
"Nonminority-owned employer firms, Reference year 2017","","961","","1,804",""
"Veteran-owned employer firms, Reference year 2017","","S","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","914","","1,758",""
"Population per square mile, 2020","","58.9","","120.4",""
"Population per square mile, 2010","","61.4","","127.2",""
"Land area in square miles, 2020","","1,308.16","","1,060.41",""
"Land area in square miles, 2010","","1,308.35","","1,060.23",""
"FIPS Code","","""36009""","","""36013""",""
"","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","",""
"","","","","",""
"Value Notes","","","","",""
"None","","","","",""
"","","","","",""
"Fact Notes","","","","",""
"(a)","Includes persons reporting only one race","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","",""
"","","","","",""
"Value Flags","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","",""
"F","Fewer than 25 firms","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","",""
"FN","Footnote on this item in place of data","","","",""
"X","Not applicable","","","",""
"S","Suppressed; does not meet publication standards","","","",""
"NA","Not available","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","",""
