"Fact","Fact Note","Albany County, New York","Value Note for Albany County, New York","Greene County, New York","Value Note for Greene County, New York","Rensselaer County, New York","Value Note for Rensselaer County, New York","Columbia County, New York","Value Note for Columbia County, New York","Sullivan County, New York","Value Note for Sullivan County, New York","Ulster County, New York","Value Note for Ulster County, New York"
"Population Estimates, July 1 2022, (V2022)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population Estimates, July 1 2021, (V2021)","","313,743","","48,499","","160,232","","61,778","","79,806","","182,951",""
"Population estimates base, April 1, 2020, (V2022)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population estimates base, April 1, 2020, (V2021)","","314,848","","47,931","","161,130","","61,570","","78,624","","181,851",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","","-0.4%","","1.2%","","-0.6%","","0.3%","","1.5%","","0.6%",""
"Population, Census, April 1, 2020","","314,848","","47,931","","161,130","","61,570","","78,624","","181,851",""
"Population, Census, April 1, 2010","","304,204","","49,221","","159,429","","63,096","","77,547","","182,493",""
"Persons under 5 years, percent","","4.7%","","4.3%","","4.9%","","3.9%","","5.8%","","4.3%",""
"Persons under 18 years, percent","","18.2%","","15.9%","","19.2%","","16.3%","","21.4%","","17.2%",""
"Persons 65 years and over, percent","","17.9%","","23.0%","","18.1%","","25.4%","","19.2%","","20.8%",""
"Female persons, percent","","51.4%","","47.5%","","50.3%","","49.7%","","48.3%","","50.1%",""
"White alone, percent","","75.3%","","89.5%","","85.7%","","90.0%","","83.8%","","87.0%",""
"Black or African American alone, percent","(a)","14.2%","","6.3%","","8.3%","","5.1%","","10.2%","","7.3%",""
"American Indian and Alaska Native alone, percent","(a)","0.3%","","0.5%","","0.4%","","0.3%","","0.8%","","0.5%",""
"Asian alone, percent","(a)","7.0%","","1.3%","","2.9%","","2.2%","","2.1%","","2.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%","","Z","","0.1%","","0.1%","","0.1%","","0.1%",""
"Two or More Races, percent","","3.1%","","2.4%","","2.7%","","2.3%","","3.0%","","3.0%",""
"Hispanic or Latino, percent","(b)","6.6%","","6.8%","","5.4%","","5.5%","","17.4%","","11.1%",""
"White alone, not Hispanic or Latino, percent","","70.9%","","84.2%","","81.9%","","85.8%","","70.0%","","78.2%",""
"Veterans, 2017-2021","","13,846","","3,029","","8,873","","3,396","","3,926","","7,737",""
"Foreign born persons, percent, 2017-2021","","11.3%","","5.7%","","5.4%","","6.7%","","9.8%","","7.3%",""
"Housing units, July 1, 2021, (V2021)","","146,813","","28,993","","74,356","","33,301","","49,565","","86,168",""
"Owner-occupied housing unit rate, 2017-2021","","57.3%","","77.0%","","62.8%","","72.8%","","69.2%","","69.5%",""
"Median value of owner-occupied housing units, 2017-2021","","$235,200","","$190,000","","$204,200","","$250,600","","$185,700","","$252,300",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,781","","$1,655","","$1,720","","$1,730","","$1,627","","$1,988",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$664","","$571","","$671","","$700","","$726","","$803",""
"Median gross rent, 2017-2021","","$1,113","","$963","","$1,046","","$992","","$933","","$1,175",""
"Building permits, 2021","","889","","107","","230","","101","","416","","342",""
"Households, 2017-2021","","130,754","","17,451","","66,341","","25,167","","28,816","","71,194",""
"Persons per household, 2017-2021","","2.27","","2.56","","2.34","","2.35","","2.54","","2.39",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","85.7%","","93.7%","","85.8%","","90.2%","","90.9%","","89.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","13.7%","","7.5%","","7.8%","","7.6%","","16.9%","","10.6%",""
"Households with a computer, percent, 2017-2021","","92.9%","","87.2%","","93.0%","","90.7%","","89.9%","","93.3%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","86.9%","","76.3%","","88.2%","","83.3%","","83.8%","","89.7%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","92.8%","","87.9%","","92.3%","","91.2%","","86.6%","","91.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","44.3%","","25.6%","","34.3%","","34.9%","","27.0%","","34.5%",""
"With a disability, under age 65 years, percent, 2017-2021","","8.0%","","9.9%","","10.5%","","9.9%","","11.4%","","9.9%",""
"Persons  without health insurance, under age 65 years, percent","","4.7%","","5.6%","","3.9%","","6.1%","","6.5%","","6.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","64.9%","","55.2%","","64.2%","","59.3%","","56.1%","","60.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","62.0%","","57.0%","","61.2%","","57.3%","","55.7%","","58.4%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","1,001,244","","130,781","","274,210","","107,827","","207,248","","479,092",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","4,402,020","","100,052","","870,266","","378,724","","425,751","","841,209",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","732,288","","47,321","","158,522","","108,683","","90,117","","166,612",""
"Total retail sales, 2017 ($1,000)","(c)","6,617,664","","713,994","","1,558,396","","784,592","","872,156","","2,570,533",""
"Total retail sales per capita, 2017","(c)","$21,492","","$15,062","","$9,788","","$13,009","","$11,629","","$14,389",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","20.7","","28.5","","23.5","","26.0","","28.6","","28.6",""
"Median household income (in 2021 dollars), 2017-2021","","$73,810","","$62,810","","$76,731","","$73,065","","$63,393","","$71,040",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$40,997","","$33,894","","$38,955","","$42,900","","$33,037","","$38,966",""
"Persons in poverty, percent","","11.9%","","11.7%","","12.3%","","10.5%","","17.1%","","11.3%",""
"Total employer establishments, 2020","","9,347","","1,135","","3,008","","1,759","","1,981","","4,781",""
"Total employment, 2020","","179,079","","10,313","","45,302","","16,403","","23,016","","45,886",""
"Total annual payroll, 2020 ($1,000)","","9,741,257","","383,437","","2,629,409","","662,872","","795,293","","1,714,641",""
"Total employment, percent change, 2019-2020","","-2.4%","","-3.3%","","-0.2%","","-3.7%","","1.9%","","-2.1%",""
"Total nonemployer establishments, 2019","","19,941","","3,866","","9,347","","6,593","","5,952","","17,562",""
"All employer firms, Reference year 2017","","7,554","","944","","2,546","","1,809","","1,617","","4,341",""
"Men-owned employer firms, Reference year 2017","","4,473","","599","","1,626","","1,062","","929","","2,566",""
"Women-owned employer firms, Reference year 2017","","1,411","","116","","392","","294","","368","","856",""
"Minority-owned employer firms, Reference year 2017","","S","","S","","259","","S","","160","","399",""
"Nonminority-owned employer firms, Reference year 2017","","5,350","","767","","1,978","","1,477","","1,276","","3,512",""
"Veteran-owned employer firms, Reference year 2017","","S","","S","","S","","S","","S","","221",""
"Nonveteran-owned employer firms, Reference year 2017","","5,842","","751","","2,012","","1,512","","1,354","","3,656",""
"Population per square mile, 2020","","602.1","","74.1","","247.0","","97.0","","81.2","","161.8",""
"Population per square mile, 2010","","581.9","","76.1","","244.4","","99.4","","80.1","","162.3",""
"Land area in square miles, 2020","","522.89","","647.16","","652.46","","634.66","","968.15","","1,124.24",""
"Land area in square miles, 2010","","522.80","","647.16","","652.43","","634.71","","968.13","","1,124.24",""
"FIPS Code","","""36001""","","""36039""","","""36083""","","""36021""","","""36105""","","""36111""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
