"Fact","Fact Note","Warren County, New York","Value Note for Warren County, New York","Delaware County, New York","Value Note for Delaware County, New York","Schoharie County, New York","Value Note for Schoharie County, New York","Schenectady County, New York","Value Note for Schenectady County, New York","Saratoga County, New York","Value Note for Saratoga County, New York","Washington County, New York","Value Note for Washington County, New York"
"Population Estimates, July 1 2022, (V2022)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population Estimates, July 1 2021, (V2021)","","65,618","","44,378","","29,863","","158,089","","237,359","","60,956",""
"Population estimates base, April 1, 2020, (V2022)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population estimates base, April 1, 2020, (V2021)","","65,737","","44,308","","29,714","","158,061","","235,509","","61,302",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","","-0.2%","","0.2%","","0.5%","","Z","","0.8%","","-0.6%",""
"Population, Census, April 1, 2020","","65,737","","44,308","","29,714","","158,061","","235,509","","61,302",""
"Population, Census, April 1, 2010","","65,707","","47,980","","32,749","","154,727","","219,607","","63,216",""
"Persons under 5 years, percent","","4.3%","","3.9%","","4.4%","","5.8%","","4.6%","","4.4%",""
"Persons under 18 years, percent","","17.8%","","16.0%","","17.6%","","21.6%","","19.3%","","18.4%",""
"Persons 65 years and over, percent","","23.5%","","26.0%","","23.2%","","17.7%","","19.3%","","20.6%",""
"Female persons, percent","","50.5%","","49.2%","","49.6%","","51.0%","","50.5%","","47.7%",""
"White alone, percent","","95.4%","","94.4%","","95.2%","","76.4%","","92.7%","","94.0%",""
"Black or African American alone, percent","(a)","1.5%","","2.3%","","1.7%","","13.3%","","2.1%","","3.7%",""
"American Indian and Alaska Native alone, percent","(a)","0.3%","","0.4%","","0.4%","","0.8%","","0.3%","","0.4%",""
"Asian alone, percent","(a)","0.9%","","1.2%","","0.8%","","5.2%","","2.9%","","0.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z","","0.1%","","Z","","0.2%","","0.1%","","Z",""
"Two or More Races, percent","","1.8%","","1.6%","","1.9%","","4.1%","","2.0%","","1.4%",""
"Hispanic or Latino, percent","(b)","2.9%","","4.4%","","3.8%","","7.8%","","3.5%","","3.1%",""
"White alone, not Hispanic or Latino, percent","","93.2%","","91.1%","","92.2%","","71.3%","","89.8%","","91.8%",""
"Veterans, 2017-2021","","4,416","","2,834","","1,841","","8,238","","14,443","","4,070",""
"Foreign born persons, percent, 2017-2021","","3.6%","","4.3%","","3.3%","","10.2%","","5.7%","","2.6%",""
"Housing units, July 1, 2021, (V2021)","","40,144","","30,014","","16,498","","70,986","","111,077","","29,098",""
"Owner-occupied housing unit rate, 2017-2021","","70.7%","","76.0%","","76.2%","","64.3%","","72.4%","","73.6%",""
