"Fact","Fact Note","Clinton County, New York","Value Note for Clinton County, New York","Otsego County, New York","Value Note for Otsego County, New York","Montgomery County, New York","Value Note for Montgomery County, New York","Fulton County, New York","Value Note for Fulton County, New York","Hamilton County, New York","Value Note for Hamilton County, New York","Essex County, New York","Value Note for Essex County, New York"
"Population Estimates, July 1 2022, (V2022)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population Estimates, July 1 2021, (V2021)","","79,596","","58,123","","49,558","","53,116","","5,119","","37,268",""
"Population estimates base, April 1, 2020, (V2022)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population estimates base, April 1, 2020, (V2021)","","79,843","","58,524","","49,532","","53,324","","5,107","","37,381",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","","-0.3%","","-0.7%","","0.1%","","-0.4%","","0.2%","","-0.3%",""
"Population, Census, April 1, 2020","","79,843","","58,524","","49,532","","53,324","","5,107","","37,381",""
"Population, Census, April 1, 2010","","82,128","","62,259","","50,219","","55,531","","4,836","","39,370",""
"Persons under 5 years, percent","","4.6%","","4.1%","","6.2%","","4.8%","","2.8%","","4.0%",""
"Persons under 18 years, percent","","18.1%","","15.7%","","23.2%","","20.1%","","13.2%","","15.8%",""
"Persons 65 years and over, percent","","18.2%","","22.1%","","19.1%","","20.4%","","33.1%","","24.9%",""
"Female persons, percent","","48.3%","","51.2%","","50.3%","","50.0%","","49.5%","","47.9%",""
"White alone, percent","","92.1%","","93.8%","","92.2%","","94.6%","","96.0%","","94.3%",""
"Black or African American alone, percent","(a)","4.4%","","2.7%","","3.7%","","2.5%","","1.4%","","2.8%",""
"American Indian and Alaska Native alone, percent","(a)","0.4%","","0.3%","","0.6%","","0.3%","","0.3%","","0.6%",""
"Asian alone, percent","(a)","1.4%","","1.5%","","1.1%","","0.8%","","0.7%","","0.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z","","0.1%","","0.2%","","Z","","0.1%","","0.1%",""
"Two or More Races, percent","","1.7%","","1.7%","","2.2%","","1.8%","","1.5%","","1.4%",""
"Hispanic or Latino, percent","(b)","3.0%","","4.0%","","15.5%","","3.9%","","2.0%","","3.4%",""
"White alone, not Hispanic or Latino, percent","","89.8%","","90.6%","","79.2%","","91.4%","","94.3%","","91.8%",""
"Veterans, 2017-2021","","4,952","","3,810","","2,704","","3,560","","354","","2,314",""
"Foreign born persons, percent, 2017-2021","","4.4%","","3.7%","","3.2%","","1.6%","","0.7%","","3.9%",""
"Housing units, July 1, 2021, (V2021)","","37,480","","29,922","","22,892","","28,133","","7,880","","25,236",""
"Owner-occupied housing unit rate, 2017-2021","","68.3%","","73.8%","","69.6%","","68.9%","","86.5%","","76.6%",""
"Median value of owner-occupied housing units, 2017-2021","","$143,800","","$154,200","","$113,500","","$124,500","","$170,600","","$162,700",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,367","","$1,350","","$1,264","","$1,225","","$1,256","","$1,425",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$510","","$500","","$544","","$541","","$453","","$556",""
"Median gross rent, 2017-2021","","$872","","$863","","$793","","$792","","$873","","$845",""
"Building permits, 2021","","172","","182","","110","","70","","46","","241",""
"Households, 2017-2021","","32,379","","22,448","","18,907","","21,712","","1,457","","15,714",""
"Persons per household, 2017-2021","","2.24","","2.38","","2.57","","2.41","","3.37","","2.22",""
