"Fact","Fact Note","Cortland County, New York","Value Note for Cortland County, New York","Onondaga County, New York","Value Note for Onondaga County, New York","Broome County, New York","Value Note for Broome County, New York","Chenango County, New York","Value Note for Chenango County, New York","Madison County, New York","Value Note for Madison County, New York","Oswego County, New York","Value Note for Oswego County, New York"
"Population Estimates, July 1 2022, (V2022)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population Estimates, July 1 2021, (V2021)","","46,311","","473,236","","197,240","","46,537","","67,658","","117,387",""
"Population estimates base, April 1, 2020, (V2022)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population estimates base, April 1, 2020, (V2021)","","46,809","","476,516","","198,683","","47,220","","68,016","","117,525",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","","-1.1%","","-0.7%","","-0.7%","","-1.4%","","-0.5%","","-0.1%",""
"Population, Census, April 1, 2020","","46,809","","476,516","","198,683","","47,220","","68,016","","117,525",""
"Population, Census, April 1, 2010","","49,336","","467,026","","200,600","","50,477","","73,442","","122,109",""
"Persons under 5 years, percent","","4.8%","","5.5%","","4.9%","","5.1%","","4.7%","","5.3%",""
"Persons under 18 years, percent","","18.9%","","21.1%","","19.4%","","20.7%","","18.8%","","20.9%",""
"Persons 65 years and over, percent","","17.1%","","18.1%","","19.7%","","21.6%","","19.8%","","17.5%",""
"Female persons, percent","","50.7%","","51.4%","","50.5%","","49.7%","","50.2%","","49.7%",""
"White alone, percent","","94.1%","","79.8%","","85.3%","","96.4%","","94.5%","","95.8%",""
"Black or African American alone, percent","(a)","2.2%","","12.0%","","6.7%","","1.0%","","2.0%","","1.2%",""
"American Indian and Alaska Native alone, percent","(a)","0.4%","","1.0%","","0.3%","","0.4%","","0.8%","","0.5%",""
"Asian alone, percent","(a)","1.1%","","3.8%","","4.5%","","0.6%","","0.9%","","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z","","0.1%","","0.1%","","Z","","Z","","Z",""
"Two or More Races, percent","","2.1%","","3.4%","","3.2%","","1.5%","","1.7%","","1.7%",""
"Hispanic or Latino, percent","(b)","3.1%","","5.5%","","4.8%","","2.4%","","2.5%","","2.9%",""
"White alone, not Hispanic or Latino, percent","","91.8%","","76.2%","","82.0%","","94.5%","","92.7%","","93.5%",""
"Veterans, 2017-2021","","2,597","","24,013","","11,051","","3,235","","4,232","","8,542",""
"Foreign born persons, percent, 2017-2021","","2.6%","","7.8%","","7.2%","","1.9%","","2.5%","","2.0%",""
"Housing units, July 1, 2021, (V2021)","","20,836","","211,699","","92,891","","24,421","","30,629","","54,819",""
"Owner-occupied housing unit rate, 2017-2021","","67.3%","","65.2%","","65.0%","","76.3%","","77.9%","","73.8%",""
"Median value of owner-occupied housing units, 2017-2021","","$130,000","","$154,100","","$122,200","","$107,900","","$151,100","","$115,900",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,342","","$1,465","","$1,237","","$1,201","","$1,437","","$1,276",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$572","","$604","","$553","","$496","","$579","","$547",""
"Median gross rent, 2017-2021","","$811","","$926","","$806","","$714","","$789","","$844",""
"Building permits, 2021","","43","","459","","336","","211","","95","","139",""
"Households, 2017-2021","","18,260","","190,353","","81,031","","19,753","","24,779","","46,749",""
"Persons per household, 2017-2021","","2.38","","2.39","","2.33","","2.37","","2.54","","2.42",""
