"Fact","Fact Note","Chemung County, New York","Value Note for Chemung County, New York","Schuyler County, New York","Value Note for Schuyler County, New York","Seneca County, New York","Value Note for Seneca County, New York","Tioga County, New York","Value Note for Tioga County, New York","Tompkins County, New York","Value Note for Tompkins County, New York","Cayuga County, New York","Value Note for Cayuga County, New York"
"Population Estimates, July 1 2022, (V2022)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population Estimates, July 1 2021, (V2021)","","83,045","","17,752","","33,688","","47,980","","105,162","","75,880",""
"Population estimates base, April 1, 2020, (V2022)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population estimates base, April 1, 2020, (V2021)","","84,148","","17,898","","33,814","","48,455","","105,740","","76,248",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","","-1.3%","","-0.8%","","-0.4%","","-1.0%","","-0.5%","","-0.5%",""
"Population, Census, April 1, 2020","","84,148","","17,898","","33,814","","48,455","","105,740","","76,248",""
"Population, Census, April 1, 2010","","88,830","","18,343","","35,251","","51,125","","101,564","","80,026",""
"Persons under 5 years, percent","","5.2%","","4.7%","","5.2%","","4.7%","","3.6%","","4.8%",""
"Persons under 18 years, percent","","21.1%","","19.0%","","20.1%","","20.4%","","14.4%","","19.4%",""
"Persons 65 years and over, percent","","19.8%","","22.5%","","20.3%","","21.5%","","15.7%","","20.6%",""
"Female persons, percent","","50.1%","","49.7%","","47.0%","","49.9%","","50.7%","","48.3%",""
"White alone, percent","","87.8%","","96.1%","","90.9%","","96.3%","","81.5%","","91.6%",""
"Black or African American alone, percent","(a)","6.6%","","1.1%","","5.7%","","1.1%","","4.5%","","4.6%",""
"American Indian and Alaska Native alone, percent","(a)","0.4%","","0.3%","","0.6%","","0.3%","","0.5%","","0.5%",""
"Asian alone, percent","(a)","1.5%","","0.7%","","0.9%","","0.9%","","9.8%","","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","Z","","Z","","Z","","Z","","0.1%","","0.1%",""
"Two or More Races, percent","","3.7%","","1.7%","","2.0%","","1.4%","","3.7%","","2.5%",""
"Hispanic or Latino, percent","(b)","3.6%","","1.9%","","4.1%","","2.1%","","5.5%","","3.3%",""
"White alone, not Hispanic or Latino, percent","","85.5%","","94.5%","","88.0%","","94.6%","","77.4%","","89.3%",""
"Veterans, 2017-2021","","6,106","","1,383","","2,445","","3,390","","3,879","","4,907",""
"Foreign born persons, percent, 2017-2021","","3.0%","","1.7%","","2.3%","","1.9%","","12.3%","","2.1%",""
"Housing units, July 1, 2021, (V2021)","","39,195","","9,681","","16,151","","21,918","","47,375","","36,751",""
