"Fact","Fact Note","Livingston County, New York","Value Note for Livingston County, New York","Monroe County, New York","Value Note for Monroe County, New York","Steuben County, New York","Value Note for Steuben County, New York","Yates County, New York","Value Note for Yates County, New York","Ontario County, New York","Value Note for Ontario County, New York","Wayne County, New York","Value Note for Wayne County, New York"
"Population Estimates, July 1 2022, (V2022)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population Estimates, July 1 2021, (V2021)","","61,578","","755,160","","92,948","","24,613","","112,508","","90,923",""
"Population estimates base, April 1, 2020, (V2022)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population estimates base, April 1, 2020, (V2021)","","61,834","","759,443","","93,584","","24,774","","112,458","","91,283",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","","-0.4%","","-0.6%","","-0.7%","","-0.6%","","Z","","-0.4%",""
"Population, Census, April 1, 2020","","61,834","","759,443","","93,584","","24,774","","112,458","","91,283",""
"Population, Census, April 1, 2010","","65,393","","744,344","","98,990","","25,348","","107,931","","93,772",""
"Persons under 5 years, percent","","4.2%","","5.2%","","5.5%","","6.2%","","4.6%","","5.4%",""
"Persons under 18 years, percent","","17.6%","","20.5%","","21.6%","","22.2%","","19.5%","","21.2%",""
"Persons 65 years and over, percent","","19.2%","","18.3%","","20.3%","","21.5%","","21.5%","","20.0%",""
"Female persons, percent","","49.2%","","51.5%","","49.9%","","51.1%","","50.8%","","49.9%",""
"White alone, percent","","93.2%","","76.7%","","94.6%","","96.7%","","93.2%","","93.4%",""
"Black or African American alone, percent","(a)","3.1%","","16.1%","","1.7%","","1.0%","","3.0%","","3.1%",""
"American Indian and Alaska Native alone, percent","(a)","0.5%","","0.5%","","0.3%","","0.3%","","0.4%","","0.4%",""
"Asian alone, percent","(a)","1.3%","","3.7%","","1.6%","","0.8%","","1.4%","","0.7%",""
