"Fact","Fact Note","Erie County, New York","Value Note for Erie County, New York","Niagara County, New York","Value Note for Niagara County, New York","Allegany County, New York","Value Note for Allegany County, New York","Wyoming County, New York","Value Note for Wyoming County, New York","Orleans County, New York","Value Note for Orleans County, New York","Genesee County, New York","Value Note for Genesee County, New York"
"Population Estimates, July 1 2022, (V2022)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population Estimates, July 1 2021, (V2021)","","950,683","","211,653","","46,106","","40,491","","40,191","","57,853",""
"Population estimates base, April 1, 2020, (V2022)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population estimates base, April 1, 2020, (V2021)","","954,236","","212,666","","46,456","","40,531","","40,343","","58,388",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","","-0.4%","","-0.5%","","-0.8%","","-0.1%","","-0.4%","","-0.9%",""
"Population, Census, April 1, 2020","","954,236","","212,666","","46,456","","40,531","","40,343","","58,388",""
"Population, Census, April 1, 2010","","919,040","","216,469","","48,946","","42,155","","42,883","","60,079",""
"Persons under 5 years, percent","","5.2%","","5.1%","","5.1%","","4.5%","","4.7%","","5.0%",""
"Persons under 18 years, percent","","20.2%","","19.9%","","20.1%","","18.3%","","18.8%","","20.3%",""
"Persons 65 years and over, percent","","18.7%","","20.2%","","20.0%","","19.2%","","19.4%","","19.6%",""
"Female persons, percent","","51.2%","","50.9%","","48.9%","","45.4%","","49.7%","","49.7%",""
"White alone, percent","","78.8%","","87.2%","","95.6%","","91.9%","","90.0%","","92.8%",""
"Black or African American alone, percent","(a)","13.8%","","7.4%","","1.4%","","5.9%","","6.2%","","3.2%",""
"American Indian and Alaska Native alone, percent","(a)","0.8%","","1.2%","","0.4%","","0.5%","","0.8%","","1.2%",""
"Asian alone, percent","(a)","4.3%","","1.2%","","1.2%","","0.5%","","0.6%","","0.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%","","0.1%","","Z","","0.1%","","0.1%","","Z",""
"Two or More Races, percent","","2.3%","","2.9%","","1.4%","","1.2%","","2.3%","","2.1%",""
"Hispanic or Latino, percent","(b)","6.0%","","3.7%","","1.8%","","3.5%","","5.2%","","3.7%",""
"White alone, not Hispanic or Latino, percent","","74.4%","","84.5%","","94.2%","","89.4%","","86.1%","","90.0%",""
"Veterans, 2017-2021","","49,769","","13,864","","3,414","","2,239","","2,679","","3,634",""
"Foreign born persons, percent, 2017-2021","","7.2%","","3.6%","","1.7%","","2.2%","","2.8%","","2.4%",""
"Housing units, July 1, 2021, (V2021)","","440,126","","100,304","","23,505","","18,275","","18,245","","26,098",""
"Owner-occupied housing unit rate, 2017-2021","","65.2%","","71.9%","","81.0%","","77.4%","","74.5%","","72.6%",""
"Median value of owner-occupied housing units, 2017-2021","","$169,100","","$140,400","","$80,900","","$125,300","","$107,700","","$130,100",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,404","","$1,329","","$1,069","","$1,232","","$1,250","","$1,265",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$564","","$561","","$471","","$536","","$603","","$545",""
"Median gross rent, 2017-2021","","$893","","$753","","$686","","$713","","$802","","$808",""
"Building permits, 2021","","1,348","","205","","34","","39","","31","","93",""
"Households, 2017-2021","","403,064","","90,030","","16,671","","15,870","","16,203","","24,461",""
"Persons per household, 2017-2021","","2.29","","2.32","","2.51","","2.39","","2.33","","2.35",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","88.2%","","91.2%","","88.5%","","91.6%","","90.2%","","90.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","10.8%","","4.6%","","4.7%","","3.3%","","6.1%","","3.5%",""
"Households with a computer, percent, 2017-2021","","90.9%","","89.8%","","87.7%","","89.0%","","87.5%","","91.1%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","86.2%","","84.8%","","80.4%","","81.3%","","83.5%","","85.6%",""
