"county_name","Population Estimates, July 1 2022, (V2022)","Population Estimates, July 1 2021, (V2021)","Population estimates base, April 1, 2020, (V2022)","Population estimates base, April 1, 2020, (V2021)","Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","Population, Census, April 1, 2020","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2017-2021","Foreign born persons, percent, 2017-2021","Housing units, July 1, 2021, (V2021)","Owner-occupied housing unit rate, 2017-2021","Median value of owner-occupied housing units, 2017-2021","Median selected monthly owner costs -with a mortgage, 2017-2021","Median selected monthly owner costs -without a mortgage, 2017-2021","Median gross rent, 2017-2021","Building permits, 2021","Households, 2017-2021","Persons per household, 2017-2021","Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","Households with a computer, percent, 2017-2021","Households with a broadband Internet subscription, percent, 2017-2021","High school graduate or higher, percent of persons age 25 years+, 2017-2021","Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","With a disability, under age 65 years, percent, 2017-2021","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2017-2021","In civilian labor force, female, percent of population age 16 years+, 2017-2021","Total accommodation and food services sales, 2017 ($1,000)","Total health care and social assistance receipts/revenue, 2017 ($1,000)","Total transportation and warehousing receipts/revenue, 2017 ($1,000)","Total retail sales, 2017 ($1,000)","Total retail sales per capita, 2017","Mean travel time to work (minutes), workers age 16 years+, 2017-2021","Median household income (in 2021 dollars), 2017-2021","Per capita income in past 12 months (in 2021 dollars), 2017-2021","Persons in poverty, percent","Total employer establishments, 2020","Total employment, 2020","Total annual payroll, 2020 ($1,000)","Total employment, percent change, 2019-2020","Total nonemployer establishments, 2019","All employer firms, Reference year 2017","Men-owned employer firms, Reference year 2017","Women-owned employer firms, Reference year 2017","Minority-owned employer firms, Reference year 2017","Nonminority-owned employer firms, Reference year 2017","Veteran-owned employer firms, Reference year 2017","Nonveteran-owned employer firms, Reference year 2017","Population per square mile, 2020","Population per square mile, 2010","Land area in square miles, 2020","Land area in square miles, 2010","FIPS Code"
"queens_county",NA,"2,331,143",NA,"2,405,464",NA,"-3.1%","2,405,464","2,230,722","5.7%","20.0%","17.4%","51.1%","47.3%","20.7%","1.4%","27.3%","0.2%","3.1%","28.1%","24.5%","41,318","47.0%","902,824","45.4%","$603,200","$2,777","$961","$1,711","4,087","807,468","2.93","92.1%","55.2%","93.3%","87.7%","82.7%","33.9%","5.6%","9.7%","63.8%","58.2%","4,593,736","15,735,791","20,371,315","19,297,120","$8,408","43.8","$75,886","$35,640","13.6%","49,999","603,514","29,388,799","0.1%","268,034","44,964","29,262","10,125","20,423","22,039","1,032","41,558","22,124.5","20,553.6","108.72","108.53","""36081"""
"nassau_county",NA,"1,390,907",NA,"1,395,774",NA,"-0.3%","1,395,774","1,339,532","5.3%","21.5%","18.4%","50.8%","72.2%","13.1%","0.6%","11.9%","0.1%","2.1%","17.6%","57.4%","38,039","22.4%","478,163","81.7%","$560,100","$3,412","$1,468","$1,940","1,365","453,576","3.03","93.1%","28.8%","95.0%","92.0%","91.7%","47.5%","4.9%","4.2%","65.4%","59.7%","4,066,714","15,609,579","5,235,303","26,841,202","$19,776","36.2","$126,576","$55,763","6.1%","48,270","575,632","31,776,476","-0.8%","154,022","43,969","29,597","8,722","9,122","32,415","1,965","39,498","4,905.3","4,704.8","284.54","284.72","""36059"""
"kings_county",NA,"2,641,052",NA,"2,736,074",NA,"-3.5%","2,736,074","2,504,700","6.7%","22.7%","15.1%","52.4%","49.9%","33.3%","1.0%","12.9%","0.1%","2.8%","18.8%","37.0%","36,598","35.3%","1,086,068","30.7%","$767,500","$3,099","$971","$1,582","7,013","985,108","2.71","90.6%","44.3%","90.4%","84.9%","83.7%","39.5%","5.8%","7.6%","63.6%","60.0%","4,361,700","20,989,493","2,409,494","28,734,814","$11,076","42.9","$67,753","$38,812","19.2%","59,985","694,127","28,753,042","2.5%","284,766","52,976","34,358","11,752","16,025","33,928","1,246","48,909","39,437.8","35,369.1","69.38","70.82","""36047"""
"richmond_county",NA,"493,494",NA,"495,747",NA,"-0.5%","495,747","468,730","5.5%","21.7%","17.0%","51.1%","73.0%","11.6%","0.7%","12.3%","0.1%","2.3%","18.7%","58.3%","12,508","24.2%","184,162","68.7%","$575,500","$2,687","$977","$1,445","310","169,528","2.87","93.5%","33.9%","92.8%","86.0%","88.6%","34.9%","6.4%","4.4%","59.6%","54.2%","665,440","3,540,659","1,091,017","4,302,741","$9,043","44.5","$89,427","$40,180","11.9%","9,352","113,081","5,116,100","3.2%","39,224","8,192","5,605","1,504","1,684","5,943","S","7,268","8,618.2","8,030.3","57.52","58.37","""36085"""
"new_york_county",NA,"1,576,876",NA,"1,694,251",NA,"-6.9%","1,694,251","1,585,873","4.4%","14.7%","18.3%","52.4%","63.5%","18.5%","1.3%","13.0%","0.2%","3.6%","26.4%","45.8%","29,444","27.9%","916,602","24.7%","$1,008,500","$3,661","$1,218","$1,869","3,165","767,213","2.09","83.9%","38.3%","93.4%","88.8%","88.4%","62.6%","6.3%","4.7%","66.9%","63.1%","27,902,302","44,469,833","4,764,857","54,824,853","$33,587","32.1","$93,956","$83,008","17.4%","99,048","2,355,277","275,961,220","1.2%","219,769","86,330","52,638","18,965","20,596","56,168","2,374","74,680","74,781.6","69,467.5","22.66","22.83","""36061"""
"bronx_county",NA,"1,424,948",NA,"1,472,654",NA,"-3.2%","1,472,654","1,385,108","6.7%","24.5%","14.0%","52.6%","44.3%","43.8%","3.1%","4.7%","0.4%","3.8%","56.4%","9.0%","24,690","34.2%","552,470","19.8%","$445,900","$2,661","$873","$1,306","5,348","521,340","2.73","91.8%","58.2%","90.9%","82.4%","74.1%","20.9%","11.8%","8.8%","58.9%","55.2%","1,418,743","13,367,520","1,163,686","9,150,286","$6,355","45.3","$43,726","$23,862","26.4%","18,183","284,865","13,533,992","1.3%","120,204","15,640","10,346","2,838","5,889","8,445","531","13,886","34,920.2","32,903.6","42.17","42.10","""36005"""
"dutchess_county",NA,"297,112",NA,"295,911",NA,"0.4%","295,911","297,488","4.5%","18.4%","18.5%","49.9%","80.6%","12.3%","0.5%","3.7%","0.1%","2.8%","13.8%","69.7%","13,227","11.2%","122,641","68.9%","$304,600","$2,317","$886","$1,314","522","111,735","2.49","89.3%","15.2%","94.1%","91.0%","91.5%","37.7%","8.0%","4.7%","62.9%","60.4%","655,229","2,503,665","184,226","3,909,612","$13,320","32.0","$87,112","$44,800","9.7%","7,412","98,011","5,006,793","-3.2%","23,414","6,701","4,187","S","910","5,144","289","5,727","371.9","373.9","795.65","795.63","""36027"""
"putnam_county",NA,"97,936",NA,"97,668",NA,"0.3%","97,668","99,710","4.5%","19.2%","18.6%","49.6%","90.4%","4.5%","0.5%","2.4%","0.1%","2.2%","17.7%","75.3%","3,418","13.9%","38,359","83.3%","$377,800","$2,800","$1,151","$1,544","67","34,651","2.76","92.4%","20.2%","95.5%","93.1%","93.3%","41.5%","6.2%","4.3%","65.2%","60.3%","146,303","609,918","77,809","909,879","$9,200","39.2","$111,617","$49,808","6.6%","2,841","22,010","1,014,355","-0.3%","9,818","2,553","1,744","S","257","2,101","69","2,250","424.3","432.9","230.20","230.31","""36079"""
"orange_county",NA,"404,525",NA,"401,310",NA,"0.8%","401,310","372,813","6.6%","25.6%","14.5%","49.6%","78.7%","13.9%","0.9%","3.1%","0.1%","3.2%","22.6%","61.1%","18,722","11.7%","148,237","68.9%","$291,900","$2,404","$991","$1,379","1,760","132,880","2.92","91.0%","25.8%","90.7%","86.3%","89.9%","31.4%","7.8%","5.4%","62.7%","59.2%","714,989","2,906,256","846,488","7,023,730","$18,489","34.1","$85,640","$37,651","12.2%","9,714","121,375","5,255,808","-1.3%","27,793","8,234","5,153","1,568","1,149","6,213","312","7,008","494.0","459.3","812.32","811.69","""36071"""
"rockland_county",NA,"339,227",NA,"338,329",NA,"0.3%","338,329","311,687","8.4%","29.2%","15.7%","50.6%","78.0%","12.9%","0.6%","6.2%","0.1%","2.2%","18.8%","62.7%","8,021","21.0%","108,510","68.1%","$465,200","$3,250","$1,471","$1,642","486","102,161","3.23","91.2%","42.6%","90.5%","86.4%","88.9%","42.0%","5.2%","5.2%","63.9%","59.7%","647,448","2,706,263","344,393","4,732,545","$14,580","31.2","$99,707","$41,041","15.2%","10,348","120,524","5,762,339","1.8%","29,485","8,938","5,705","1,662","1,560","6,614","S","7,844","1,950.7","1,795.9","173.44","173.55","""36087"""
